,English,SimplifiedChinese,TraditionalChinese,Russian
Amethyst Lump Drop,Amethyst Lump Drop,紫晶矿掉落,紫晶礦掉落,Amethyst Lump Drop
Amos' Bow,Amos' Bow,阿莫斯之弓,阿莫斯之弓,Amos' Bow
Ancient Rime,Ancient Rime,雪山大冰矿,雪山大冰礦,Доисторический лёд
Andrius,Andrius,北风狼,北風狼,Андриус
Anemo,Anemo,风,風,Anemo
Anemo Crystalfly,Anemo Crystalfly,风晶蝶,風晶蝶,Anemo Crystalfly
Anemo Hypostasis,Anemo Hypostasis,无相之风,無相之風,Анемо Гипостазис
Anemoculus,Anemoculus,风神瞳,風神瞳,Анемокулы
Animals,Animals,动物,動物,Животные
Animals without mechanics.,Animals without mechanics.,如：猫、狗,無機制動物(暫),Животные без механик.
Animals you can immediately collect.,Animals you can immediately collect.,可以立即拾取的动物,可以立即拾取的動物,"Животные, которых можно собрать."
Animals you need to kill before collecting.,Animals you need to kill before collecting.,需要先击杀后才能拾取的动物,需要先擊殺後才能拾取的動物,"Животные, которых надо убить перед сбором."
Animation Changer,Animation Changer,动画修改器,動畫修改器,Замена анимаций
Animation Multiplier,Animation Multiplier,多重动画倍率,多重動畫倍率,Множитель анимаций
Animation State,Animation State,动画状态,動畫狀態,Состояние Анимации
"Animation state to replay.
Results can vary alongside Animation Multiplier","Animation state to replay.
Results can vary alongside Animation Multiplier","要重复的动画状态。
结果可能随 多重动画 而变化。","要重覆的動畫狀態。
結果可能隨 多重動畫 而變化。","Состояние анимации для воспроизведения.
Результат может различаться взависимости от множителя анимации"
Animations,Animations,动画,動畫,Анимации
AntiFire,AntiFire,免疫,免疫,AntiFire
"Append ""UID:"" prefix on the water-mark","Append ""UID:"" prefix on the water-mark","添加 ""UID:"" 前缀","添加 ""UID:"" 字樣在水印前","Добавить приставку ""UID:"""
Apple,Apple,苹果,蘋果,Яблоко
Apply,Apply,应用,應用,Применить
Apply Key,Apply Key,应用快捷键,應用快捷鍵,Apply Key
Apprentice's Notes,Apprentice's Notes,学徒笔记,學徒筆記,Apprentice's Notes
Aqua Simulacra,Aqua Simulacra,若水,若水,Aqua Simulacra
Aquila Favonia,Aquila Favonia,风鹰剑,風鷹劍,Aquila Favonia
Aralia Wood,Aralia Wood,孔雀木,孔雀木,Aralia Wood
Aranara,Aranara,兰那罗,蘭那羅,Aranara
Arataki Itto,Arataki Itto,荒泷一斗,荒瀧一鬥,Arataki Itto
Archaic Stone,Archaic Stone,老石,老石,Archaic Stone
Artifact,Artifact,圣遗物,聖遺物,Artifact
Artifacts,Artifact,圣遗物,聖遺物,Artifacts
Ascend HotKey,Ascend HotKey,拉升热键(暂),拉升熱鍵(暫),Ascend HotKey
Ascension Materials Filter,Ascension Materials Filter,升级材料过滤器,升級材料過濾器,Ascension Materials Filter
Athel Wood,Athel Wood,柽木,檉木,Athel Wood
Attach,Attach,附加,連結,Attach
Attack Delay (ms),Attack Delay (ms),攻击间隔(ms),攻擊間隔(ms),Задержка перед атакой (ms)
Attack Effects,Attack Effects,攻击效果,攻擊效果,Attack Effects
Attack Speed,Attack Speed,攻击速度,攻擊速度,Скорость атакки
Attack count maximum multiplier.,Attack count maximum multiplier.,倍攻最大倍率,倍攻最大倍率,Attack count maximum multiplier.
Attack count minimum multiplier.,Attack count minimum multiplier.,倍攻最小倍率,倍攻最小倍率,Attack count minimum multiplier.
Attack count multiplier.,Attack count multiplier.,倍攻数量,倍攻倍率,Attack count multiplier.
Attack speed,Attack speed,攻击速度,攻擊速度,Attack speed
Attack speed multiplier.,Attack speed multiplier.,攻击速度倍率,攻擊速度倍率,Множитель скорости атаки.
Attacks per Tree,Attacks per Tree,每颗树攻击次数,每顆樹攻擊次數,Атак на дерево
Auto,Auto,自动,自動,Авто
Auto Challenge,Auto Challenge,自动挑战,自動挑戰,Auto Challenge
Auto Cook,Auto Cook,自动烹饪,自動烹飪,Автоматическая готовка
Auto Cooking [Proficiency],Auto Cooking [Proficiency],自动烹饪 [熟练程度],自動烹飪 [熟練程度],Автоматическая готовка [Мастерство]
"Auto Cooking [Standart, %s]","Auto Cooking [Standart, %s]","自动烹饪 [标准, %s]","自動烹飪 [標準, %s]","Авто готовка [Standart, %s]"
Auto Destroy Objects,Auto Destroy Objects,自动摧毁物体,自動摧毀物體,Авторазрушение Объектов (камни/руда)
Auto Electro seelie,Auto Electro seelie,自动雷灵,自動雷靈,Автоматическое сопровождение электрофей
Auto Fish,Auto Fish,自动钓鱼,自動釣魚,Авторыбалка
Auto Loot,Auto Loot,自动收集,自動收集,Автолут
Auto Run,Auto Run,自动奔跑,自動奔跑,Автобег
Auto Seelie,Auto Seelie,自动仙灵,自動仙靈,Автоматическое сопровождение фей
Auto Talk,Auto Talk,自动对话,自動對話,Авто Разговор
Auto Teleport,Auto Teleport,自动传送,自動傳送,Автотелепорт
Auto Tree Farm,Auto Tree Farm,自动砍树,自動砍樹,Автоматический фарм дерева
Auto collect time challenge item,Auto collect time challenge item,自动收集时间挑战的道具,自動收集時間挑戰的道具,Автосбор частиц в испытаниях на время
Auto destroy,Auto destroy,自动摧毁,自動摧毀,Авторазрушение
Auto destroy bombbarrel,Auto destroy bombbarrel,自动摧毁炸药桶,自動摧毀炸藥桶,Auto destroy bombbarrel
Auto disable pickup (on full),Auto disable pickup (on full),自动关闭拾取(背包已满时),自動關閉拾取(背包已滿時),Выключение автоподбора (при полном инвентаре)
Auto disable when bag is full,Auto disable when bag is full,当背包上限时自动关闭,當背包上限時自動關閉,Автовыклчюение когда инентарь полон
Auto follow seelie to its home,Auto follow seelie to its home,自动跟随仙灵到家,自動跟隨仙靈到家,Автоматическое сопровождение фей до дома
Auto weakspot,Auto weakspot,自动弱点,自動弱點,автоматическая слабость
Auto-Pickup,Auto-Pickup,自动拾取,自動拾取,Авто подбор
Auto-Treasure,Auto-Treasure,自动交互,自動寶藏,Автоматические открытие сундуков
Auto-select Dialog,Auto-select Dialog,自动选择对话选项,自動選擇對話選項,Автовыбор ответов в диалогах
Automatically attack trees in range.,Automatically attack trees in range.,自动攻击范围内的树木,自動攻擊範圍內的樹木,Автоматически ломать деревья в радиусе.
Automatically catch fish.,Automatically catch fish.,自动钓鱼,自動釣魚,Автоматчиеская ловля рыбы.
Automatically continue the dialog.,Automatically continue the dialog.,自动继续对话,自動繼續對話,Автоматчиеское продолжение диалога.
Automatically disables auto pickup when bag is full.,Automatically disables auto pickup when bag is full.,当背包上限时关闭自动拾取.,當背包上限時關閉自動拾取.,Автоматически выключать автоподбор при полном инвентаре.
"Automatically opens chests and other treasures.
Note: Using this with custom range and low delay times is extremely risky.
Abuse will definitely merit a ban.

If using with custom range, make sure this is turned on FIRST.","Automatically opens chests and other treasures.
Note: Using this with custom range and low delay times is extremely risky.
Abuse will definitely merit a ban.

If using with custom range, make sure this is turned on FIRST.","自动打开宝箱和其他交互物品。
注意: 此功能用于范围拾取和低延迟的拾取是高风险的，
滥用会导致封号。

如果要使用范围拾取，请确保先打开该选项。","自動打開寶箱和其他寶藏。
注意: 此功能用於範圍拾取和低延遲的拾取是高風險的，
濫用會導致封號。

如果要使用範圍拾取，請確保先打開該選項。","Автоматическое открытие сундуков и других сокровищ.
Примечание: использовать это с большим расстоянием и низкой задержкой очень ОПАСНО.
Злоупотребление определённо ОЧЕНЬ ОПАСНО.

Если используется с кастомным расстоянием, то убедитесь что это ВКЛЮЧЕНО."
"Automatically picks up dropped items.
Note: Using this with custom range and low delay times is extremely risky.
Abuse will definitely merit a ban.

If using with custom range, make sure this is turned on FIRST.","Automatically picks up dropped items.
Note: Using this with custom range and low delay times is extremely risky.
Abuse will definitely merit a ban.

If using with custom range, make sure this is turned on FIRST.","自动拾取掉落的物品。
注意: 此功能用于范围拾取和低延迟的拾取是高风险的，
滥用会导致封号。

如果要使用范围拾取，请确保先打开该选项。","自動拾取掉落的物品。
注意: 此功能用於範圍拾取和低延遲的拾取是高風險的，
濫用會導致封號。

如果要使用範圍拾取，請確保先打開該選項。","Автоматически подбирает вещи.
Примечание: использовать это с большим расстоянием и низкой задержкой очень ОПАСНО.
Злоупотребление определённо ОЧЕНЬ ОПАСНО.

Если используется с кастомным расстоянием, то убедитесь что это ВКЛЮЧЕНО."
Automatically select dialog choices.,Automatically select dialog choices.,自动选择对话选项,自動選擇對話選項,Автоматически выбирать выбор ответов в диалогах.
Automatically skips game movies.,Automatically skips game movies.,自动跳过游戏动画,自動跳過遊戲動畫,Автоматиеский пропуск игровых видеороликов(катсцен).
Avatar Own,Avatar Own,自己,主角頭像,Avatar Own
Avatar Teammate,Avatar Teammate,队友,隊伍頭像,Avatar Teammate
Avatar image,Avatar image,头像图片,頭像圖片,Avatar image
Azhdaha,Azhdaha,若陀龙王,若陀龍王,Аждаха
BGMs,BGMs,唱片,唱片,BGMs
Back HotKey,Back HotKey,后退热键(暂),後退熱鍵(暫),Back HotKey
Backward,Backward,后,後,Назад
Bake Danuki,Bake Danuki,狸猫,貍貓,Тануки
Bake-Danuki,Bake-Danuki,妖狸,妖貍,Bake-Danuki
Bamboo Segment,Bamboo Segment,竹节,竹節,Bamboo Segment
Bamboo Shoot,Bamboo Shoot,竹笋,竹筍,Bamboo Shoot
Barbara,Barbara,芭芭拉,芭芭拉,Barbara
"Barrels, boxes, vases, etc.","Barrels, boxes, vases, etc.",桶、箱、花瓶等。,桶、箱、花瓶等。,"Бочки, ящики, вазы и т.д."
Beginner's Protector,Beginner's Protector,新手长枪,新手長槍,Beginner's Protector
Beidou,Beidou,北斗,北鬥,Beidou
Bennett,Bennett,班尼特,班尼特,Bennett
Berry,Berry,树莓,樹莓,Ягода
Betta,Betta,斗棘鱼,鬥棘魚,Betta
Birch Wood,Birch Wood,桦木,樺木,Birch Wood
Bird Egg,Bird Egg,鸟蛋,鳥蛋,Яйцо
Bitter Pufferfish,Bitter Pufferfish,苦炮鲀,苦炮魨,Bitter Pufferfish
Black King Pigeon,Black King Pigeon,黑王鸽,黑王鴿,Black King Pigeon
Black Serpent Knight,Black Serpent Knight,黑蛇骑士,黑蛇騎士,Рыцарь черного змея
Black Tassel,Black Tassel,黑缨枪,黑纓槍,Black Tassel
Blackcliff Agate,Blackcliff Agate,黑岩绯玉,黑岩緋玉,Blackcliff Agate
Blackcliff Longsword,Blackcliff Longsword,黑岩长剑,黑岩長劍,Blackcliff Longsword
Blackcliff Pole,Blackcliff Pole,黑岩刺枪,黑岩刺槍,Blackcliff Pole
Blackcliff Slasher,Blackcliff Slasher,黑岩斩刀,黑岩斬刀,Blackcliff Slasher
Blackcliff Warbow,Blackcliff Warbow,黑岩战弓,黑岩戰弓,Blackcliff Warbow
Bloatty Floatty,Bloatty Floatty,蓬蓬果,蓬蓬果,Раздутый
Block User Input,Block User Input,拦截用户输入,攔截使用者輸入,Block User Input
Block WindSeed,Block WindSeed,拦截WindSeed,攔截WindSeed,Block WindSeed
Blocks the WindSeed Packet which can cause RCE from malicious private servers. Only use it on private servers.,Blocks the WindSeed Packet which can cause RCE from malicious private servers. Only use it on private servers.,阻止来自恶意服务器可能导致 RCE 的 WindSeed 数据包，仅在私服使用。,阻止來自惡意伺服器可能導致 RCE 的 WindSeed 封包，僅在私服使用。,Blocks the WindSeed Packet which can cause RCE from malicious private servers. Only use it on private servers.
Bloodtainted Greatsword,Bloodtainted Greatsword,沐浴龙血的剑,沐浴龍血的劍,Bloodtainted Greatsword
Blue Frog,Blue Frog,蓝蛙,藍蛙,Blue Frog
Blue Horned Lizard,Blue Horned Lizard,蓝角蜥,藍角蜥,Blue Horned Lizard
Boar,Boar,野猪,野豬,Boar
Body,Body,身体,身體,Body
"Body Texture.
Example path: C:\Body.png","Body Texture.
Example path: C:\Body.png","身体纹理。
路径示例: C:\Body.png","身體材質。
路徑示例: C:\Body.png","Body Texture.
Example path: C:\Body.png"
Book,Book,书籍,書籍,Книга
Book Page,Book Page,书页,書頁,Страница
"Book Pages, Spincrystals, etc.","Book Pages, Spincrystals, etc.",书页、唱片等。,書頁、唱片等。,"Book Pages, Spincrystals, etc."
Book pages,Book pages,书页,書頁,Книги (страницы)
Books/Recipes,Books/Recipes,书籍/食谱,書籍/食譜,Books/Recipes
Boot Weasel,Boot Weasel,靴子鼬,靴子鼬,Boot Weasel
Boss,Boss,Boss,Boss,Босс
Bouncy Mushroom,Bouncy Mushroom,弹弹菇,彈彈菇,Пружинистый гриб
Bow,Bow,弓,弓,Лук
Bows,Bows,弓,弓,Bows
Box,Box,盒子,盒子,Box
Box Color,Box Color,边框颜色,邊框顏色,Box Color
Bramble,Bramble,在荆棘中,在荊棘中,Корни
Brightcrown Pigeon,Brightcrown Pigeon,璃冠鸽,璃冠鴿,Brightcrown Pigeon
Brightwood,Brightwood,辉木,輝木,Brightwood
Brown Shirakodai,Brown Shirakodai,流纹褐蝶鱼,流紋褐蝶魚,Brown Shirakodai
Browser,Browser,浏览器,瀏覽器,Browser
Buried Chest,Buried Chest,掩埋的宝箱,掩埋的寶箱,Спрятанный сундук
Butterfly Wings,Butterfly Wings,蝴蝶翅膀,蝴蝶翅膀,Butterfly Wings
CR,CR,范围,範圍,CR
Cabbage,Cabbage,卷心菜,卷心菜,Cabbage
Calamity Queller,Calamity Queller,息灾,息災,Calamity Queller
"Calculate how many attacks needed to kill an enemy based on their HP
and uses that to set the multiplier accordingly.
May be safer, but multiplier calculation may not be on-point.","Calculate how many attacks needed to kill an enemy based on their HP
and uses that to set the multiplier accordingly.
May be safer, but multiplier calculation may not be on-point.","根据 HP 计算杀死敌人所需的攻击次数，
并使用它来相应地设置乘数。
可能更安全，但乘数计算可能不准确。","根據 HP 計算殺死敵人所需的攻擊次數，
並使用它來相應地設置乘數。
可能更安全，但乘數計算可能不準確。","Подсчитывает сколько надо произвести ударов на основе здоровья врага
и используется это значения для множителя атаки.
Может быть безопаснее, но расчет множителя может быть не точным."
Calla Lily,Calla Lily,嘟嘟莲,嘟嘟蓮,Лилия калла
Camera Zoom,Camera Zoom,无限视距,相機變焦,Приближение камеры
Camera-relative movement,Camera-relative movement,相对相机方向移动,相對相機方向移動,Движение относительно камеры
Campfire Torch,Campfire Torch,火炬,火炬,Костёр
Campfire/Torch,Campfire/Torch,营火/火把,營火/火把,Campfire/Torch
Can get buggy with bosses like PMA and Hydro Hypo.,Can get buggy with bosses like PMA and Hydro Hypo.,可能会与恒常机关阵列和无相系列的boss发生冲突,可能會與恒常機關陣列和無相系列的boss發生沖突,Может некорректно работать с боссами на подобии Пиро гипостазис.
Candace,Candace,坎蒂丝,坎蒂絲,Candace
Capturing,Capturing,捕捉,捕捉,Захват
Card image,Card image,名片图片,名片圖片,Изображение вместо карточки профиля
Carrot,Carrot,胡萝卜,胡蘿蔔,Марковка
Carrot Drop,Carrot Drop,胡萝卜掉落,胡蘿蔔掉落,Carrot Drop
Cat,Cat,猫,貓,Кот
Catalyst,Catalyst,法器,法器,Catalyst
Catalysts,Catalysts,法器,法器,Catalysts
Catch Delay (ms),Catch Delay (ms),拉竿延迟(毫秒),拉竿延遲(毫秒),Catch Delay (ms)
Cave,Cave,洞穴,洞穴,Cave
Cecilia,Cecilia,塞西莉亚花,塞西莉亞花,Сесилия
Challenge,Challenge,挑战,挑戰,Испытание
"Change behavior to a held down toggle if bound to a key.
Leave as 'None' for default behavior (always on).","Change behavior to a held down toggle if bound to a key.
Leave as 'None' for default behavior (always on).",绑定一个键后，按下将切换行为。松开时，即默认行为保留为 空 (总是打开)。,綁定一個鍵後，按下將切換行為。鬆開時，即默認行為保留為 空 (總是打開)。,"Change behavior to a held down toggle if bound to a key.
Leave as 'None' for default behavior (always on)."
Changes Vertical FoV. Horizontal FoV depends on the viewport's aspect ratio,Changes Vertical FoV. Horizontal FoV depends on the viewport's aspect ratio,更改垂直FOV，水平FOV取决于视口的纵横比。,更改垂直FOV，水平FOV取決於視窗的縱橫比。,Changes Vertical FoV. Horizontal FoV depends on the viewport's aspect ratio
Changes active character's animation.,Changes active character's animation.,修改当前活动角色的动画,修改當前活動角色的動畫,Меняет анимацию персонажа.
Changes active character's emotion.,Changes active character's emotion.,修改当前活动角色的表情,修改當前活動角色的表情,Меняет эмоцию активного персонажа.
"Changes the Avatar Image visually.
Note the size of the picture must be: 256x256.
Example path: C:\Avatars.png","Changes the Avatar Image visually.
Note the size of the picture must be: 256x256.
Example path: C:\Avatars.png","视觉上改变角色头像。
图片大小必须是 256x256。
示例路径: C:\Avatars.png","視覺上改變角色頭像。
圖片大小必須是 256x256。
範例路徑: C:\Avatars.png","Changes the Avatar Image visually.
Note the size of the picture must be: 256x256.
Example path: C:\Avatars.png"
"Changes the Card visually.
Note the size of the picture must be: 840x400.
Example path: C:\Card.png","Changes the Card visually.
Note the size of the picture must be: 840x400.
Example path: C:\Card.png","视觉上改变名片。
图片大小必须是 840x400。
示例路径:  C:\Card.png","視覺上改變名片。
圖片大小必須是 840x400。
範例路徑:  C:\Card.png","Changes the Card visually.
Note the size of the picture must be: 840x400.
Example path: C:\Card.png"
Changes the ExpBar visually.,Changes the ExpBar visually.,修改显示的冒险阅历经验条.,修改顯示的冒險閱歷經驗條.,Визуально меняет полоску опыта.
Changes the UID visually.,Changes the UID visually.,修改显示的UID,修改顯示的UID,Визуально меняет UID.
Changes the exp visually.,Changes the exp visually.,修改显示的冒险阅历,修改顯示的冒險閱歷,Визуально меняел опыт.
Changes the level visually.,Changes the level visually.,修改显示的玩家等级,修改顯示的玩家等級,Визуально меняет уровень.
Changes the nickname visually.,Changes the nickname visually.,修改显示的昵称,修改顯示的暱稱,Визуально меняет никнейм.
Changes the world-level visually.,Changes the world-level visually.,修改显示的世界等级,修改顯示的世界等級,Визуально меняет уровень мира.
Character,Character,角色,角色,Character
Character Filters,Character Filters,角色过滤器,角色過濾器,Character Filters
Cheat status,Cheat status,宝箱状态,寶箱狀態,Cheat status
Chest,Chest,宝箱,寶箱,Chest
Chest Indicator,Chest Indicator,宝箱指示器,寶箱指示器,Chest Indicator
Chest Teleport,Chest Teleport,宝箱传送,寶箱傳送,Chest Teleport
Chests,Chests,宝箱,寶箱,Chests
Chilled Meat,Chilled Meat,冷鲜肉,冷鮮肉,Chilled Meat
Chongyun,Chongyun,重云,重雲,Chongyun
Choose any or both modes below.,Choose any or both modes below.,选择下面的任何1种或2种模式,選擇下面的任何1種或2種模式,Choose any or both modes below.
Cicin,Cicin,飞萤,飛螢,Cicin
Cinnabar Spindle,Cinnabar Spindle,辰砂之纺锤,辰砂之紡錘,Cinnabar Spindle
Circle Color,Circle Color,圆圈颜色,Circle Color,Circle Color
Claymore,Claymore,双手剑,雙手劍,Claymore
Claymores,Claymores,双手剑,雙手劍,Claymores
Clear,Clear,清除,清除,Clear
ClearSky,ClearSky,晴天,晴天,ClearSky
Close mhyprot2 handle (changes will take effect after relaunch).,Close mhyprot2 handle (changes will take effect after relaunch).,关闭 mhyprot2 句柄(更改将在重新启动后生效),關閉 mhyprot2 Handle(更改將在重新啟動後生效),Close mhyprot2 handle (changes will take effect after relaunch).
Cloudy,Cloudy,多云,多云,Cloudy
Clusterleaf Of Cultivation,Clusterleaf Of Cultivation,众叶觉蕊,眾葉覺蕊,Clusterleaf Of Cultivation
Clusterleaf of Cultivation,Clusterleaf of Cultivation,众叶觉蕊,眾葉覺蕊,Clusterleaf of Cultivation
Collect delay.,Collect delay.,收集延迟,收集延遲,Частота сбора.
Collect range.,Collect range.,收集、引爆范围,收集範圍,Дальность сбора.
Collection,Collection,收集,收集,Collection
Collei,Collei,柯莱,柯萊,Collei
Color of box font.,Color of box font.,边框颜色,邊框顏色,Color of box font.
Color of line font.,Color of line font.,线条颜色,線條顏色,Color of line font.
"Color of line, name, or distance text font.","Color of line, name, or distance text font.",线条、名字或距离文本的颜色。,線條、名字或距離文本的顏色。,"Color of line, name, or distance text font."
Color of rectangle font.,Color of rectangle font.,长方形颜色,長方形顏色,Color of rectangle font.
Color of the arrow outline.,Color of the arrow outline..,箭头轮廓的颜色.,Color of the arrow outline..,Color of the arrow outline..
Color of the circle icon fill.,Color of the circle icon fill.,圆圈图标填充颜色,Color of the circle icon fill.,Color of the circle icon fill.
Commands,Commands,命令,命令,Команды
Common,Common,普通,普通,Обычный
Common Chest,Common Chest,普通的宝箱,普通的寶箱,Обычный сундук
Common enemies.,Common enemies.,普通级的敌人,普通級的敵人,Обычные монстры.
"Common, precious, luxurious, etc.","Common, precious, luxurious, etc.",普通的宝箱、珍贵的宝箱、华丽的宝箱等。,普通的寶箱、珍貴的寶箱、華麗的寶箱等。,"Обычные, драгоценные, раскошные, др."
Complete nearest point,Complete nearest point,完成附近点位,完成附近點位,Complete nearest point
Complete only showed,Complete only showed,仅完成已显示的点位,僅完成已顯示的點位,Complete only showed
Complete performed only to visible points.,Complete performed only to visible points.,仅对可见点完成,僅對可見點完成,Complete performed only to visible points.
Complete performs within specified range. If 0 - unlimited.,Complete performs within specified range. If 0 - unlimited.,完成的范围. 如果为0，就无限制。,完成的範圍. 如果為0，就無限制。,Complete performs within specified range. If 0 - unlimited.
Complete progress,Complete progress,完成所有进度,完成所有進度,Complete progress
Completed point transparency,Completed point transparency,完成点透明度,完成點透明度,Completed point transparency
Completed points transparency.,Completed points transparency.,完成点透明度,完成點透明度,Completed points transparency.
